category,model,avg_generation_time,avg_gpu_utilization,avg_gpu_memory_utilization
fft,glm_combined,120.21977795982362,0.5538281456371626,60456.111457627114
fft,gpt5_combined,9.739417419433593,,
fft,hpc-coder_combined,3.975285082817078,0.33243966666666663,43139.125655172415
fft,magicoder_combined,7.699866884708404,0.503015145021645,15723.2372
fft,minimax_combined,46.35848734426499,,
fft,oss_combined,79.00760759496688,0.7973733601900251,
fft,sonnet_combined,,,
fft,starcoder_combined,54.33372047233581,0.9055738076669455,31482.50573333333
graph,glm_combined,150.40688047218322,0.43976960118144454,60862.773243076925
graph,gpt5_combined,9.640544607162475,,
graph,hpc-coder_combined,3.0161491770744324,0.18209666666666666,26684.461333333333
graph,magicoder_combined,6.619460238933563,0.6644159206349206,15263.27422222222
graph,minimax_combined,49.947718526363374,,
graph,oss_combined,77.44345453262329,0.796565232974159,
graph,sonnet_combined,,,
graph,starcoder_combined,51.66892747211457,0.9188786681704547,31435.6532
transform,glm_combined,124.32790228176118,0.4283383339358135,60718.15180895522
transform,gpt5_combined,3.665992259979248,,
transform,hpc-coder_combined,4.629043107032776,0.5491533333333333,26680.406666666666
transform,magicoder_combined,4.055281846523284,0.4900833333333333,13680.467999999999
transform,minimax_combined,29.81397555065155,,
transform,oss_combined,46.465434386730195,0.7830279965825521,
transform,sonnet_combined,,,
transform,starcoder_combined,55.19539090681076,0.9298786940436694,31423.771172413795
futures_promises,glm_combined,174.16621447753906,0.41377546870994053,63227.29837333333
futures_promises,gpt5_combined,48.62006149291992,,
futures_promises,hpc-coder_combined,13.627006277084352,0.6278550946729986,37588.21431688312
futures_promises,magicoder_combined,13.289064960956575,0.7161390703485541,17816.638442105264
futures_promises,minimax_combined,48.877347002506255,,
futures_promises,oss_combined,98.55917144536971,0.8083743856848727,
futures_promises,sonnet_combined,,,
futures_promises,starcoder_combined,63.642077081680306,0.9412080308165726,31505.61928030303
scan,glm_combined,115.54569702148437,0.5657041964714795,60645.21525423729
scan,gpt5_combined,7.916988533973694,,
scan,hpc-coder_combined,4.114832592964173,0.44546333333333327,26853.79866666667
scan,magicoder_combined,5.79888975429535,0.5176183333333333,15321.5536
scan,minimax_combined,45.97427178192139,,
scan,oss_combined,61.74886931657792,0.789892306060964,
scan,sonnet_combined,,,
scan,starcoder_combined,53.82488282442093,0.9261044942163459,31470.44360798548
search,glm_combined,141.8975282301903,0.4393334522492946,61103.129297297295
search,gpt5_combined,7.032830973625183,,
search,hpc-coder_combined,4.093190461158753,0.45966933333333326,26843.434999999998
search,magicoder_combined,6.352637680053711,0.6184543585434172,15079.553333333333
search,minimax_combined,40.417854576110834,,
search,oss_combined,52.019173520565026,0.7831601939298626,
search,sonnet_combined,,,
search,starcoder_combined,54.08084205818177,0.9288545632287883,31422.583172413793
sort,glm_combined,130.88524901962282,0.4448245554946431,61101.86365957446
sort,gpt5_combined,7.7955530033111575,,
sort,hpc-coder_combined,4.697677813053131,0.5606073333333332,26900.328
sort,magicoder_combined,5.219440711021423,0.5731579327731092,15408.840784313725
sort,minimax_combined,38.11903642272949,,
sort,oss_combined,60.49460494852066,0.7878027928659217,
sort,sonnet_combined,,,
sort,starcoder_combined,53.3233589053154,0.9248107474464373,31478.485733333335
stencil,glm_combined,151.1680015759468,0.38605859598830256,54400.21859459459
stencil,gpt5_combined,6.766804746627808,,
stencil,hpc-coder_combined,3.7339420318603516,0.16401083870967742,42232.45670967742
stencil,magicoder_combined,9.91698371553421,0.44637153968253973,15993.316444444445
stencil,minimax_combined,44.67853124523163,,
stencil,oss_combined,69.15250196027756,0.794028771324736,
stencil,sonnet_combined,,,
stencil,starcoder_combined,56.098834976196294,0.9346155398921565,31528.266266666666
locking_contention,glm_combined,152.79442762613297,0.44285222057541185,60849.667735507406
locking_contention,gpt5_combined,17.90252716255188,,
locking_contention,hpc-coder_combined,9.929810801029205,0.6269606891085809,32100.935361220043
locking_contention,magicoder_combined,10.948097222805023,0.7336880486063644,16927.10857660819
locking_contention,minimax_combined,49.800844655513764,,
locking_contention,oss_combined,93.57452749681472,0.8059607537520513,
locking_contention,sonnet_combined,,,
locking_contention,starcoder_combined,55.55317066049575,0.933535030098208,31580.617856410256
la,glm_combined,121.34319650244713,0.547235160221138,60469.633776583374
la,gpt5_combined,11.897120569229127,,
la,hpc-coder_combined,7.3331253790855415,0.5495595052910053,42483.645723809524
la,magicoder_combined,7.514272506475448,0.6739225714285715,16183.065444444446
la,minimax_combined,43.485881232976915,,
la,oss_combined,83.68475924491882,0.8001732908329406,
la,sonnet_combined,,,
la,starcoder_combined,52.842199400186544,0.9201024629396063,31471.327310344826
reduce,glm_combined,136.81104103469846,0.4333277238539187,60751.588213333336
reduce,gpt5_combined,5.917150543212891,,
reduce,hpc-coder_combined,3.520083546161652,0.46464999999999995,26582.232
reduce,magicoder_combined,5.317637359619141,0.506346111111111,15381.319555555554
reduce,minimax_combined,38.84039672422409,,
reduce,oss_combined,52.753527194023135,0.7888874879987382,
reduce,sonnet_combined,,,
reduce,starcoder_combined,51.78605679845809,0.9266604476788579,31424.140197044333
histogram,glm_combined,127.06652249479293,0.520166858457136,60746.37742180588
histogram,gpt5_combined,7.856211587905884,,
histogram,hpc-coder_combined,5.170322670936585,0.5700405747126437,44341.45613793103
histogram,magicoder_combined,5.983994247913361,0.49258766666666665,13811.645999999999
histogram,minimax_combined,47.76372213411331,,
histogram,oss_combined,76.30579100608826,0.7973647977020869,
histogram,sonnet_combined,,,
histogram,starcoder_combined,55.01666050577164,0.9283181437180043,31469.276413793104
geometry,glm_combined,175.49025826025007,0.4036188624594244,61127.9107039012
geometry,gpt5_combined,7.980802124023438,,
geometry,hpc-coder_combined,7.024467738628388,0.6181053968253968,40049.765044444444
geometry,magicoder_combined,7.389756735324861,0.5012240946275945,16217.480753846152
geometry,minimax_combined,49.446005438804626,,
geometry,oss_combined,76.36974968957901,0.7967271063660244,
geometry,sonnet_combined,,,
geometry,starcoder_combined,51.53695338392258,0.920005875310105,31478.46973333333
