model,avg_generation_time,avg_gpu_utilization,avg_gpu_memory_utilization
glm_combined,140.16328438129793,0.46298716732577766,60496.91842614057
gpt5_combined,11.748615771073561,,
hpc-coder_combined,5.758841282991264,0.4731239819989976,34036.943124292666
magicoder_combined,7.3927218357049505,0.5720787789316277,15600.577104374872
minimax_combined,44.117236356570174,,
oss_combined,71.35224402592732,0.7945644981742258,
sonnet_combined,,,
starcoder_combined,54.53100580353003,0.9260420388635501,31474.70459056733
P
