model,execution model,prompt,build@1,pass@1,strict_pass@1,speedup@1,speedup_max@1,efficiency@1,efficiency_max@1,build@5,pass@5,strict_pass@5,speedup@5,speedup_max@5,efficiency@5,efficiency_max@5,build@10,pass@10,strict_pass@10,speedup@10,speedup_max@10,efficiency@10,efficiency_max@10,build@20,pass@20,strict_pass@20,speedup@20,speedup_max@20,efficiency@20,efficiency_max@20,max_new_tokens,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times
hpc-coder,hpx,25_reduce_xor,0.9523809523809523,0.4099999999999997,0.4099999999999997,6.269032343269503,6.270261575802835,1.1364655197004438,0.7246382738337092,0.9999998542005032,0.9335031091474391,0.9335031091474391,1.9218607263287684,1.9277309463828025,0.2943431012725636,0.7102352567534231,0.9999999999999957,0.9963704660241284,0.9963704660241284,0.8675092414054081,0.8788621187525187,0.26023160415005986,0.705865476755395,1,0.9999947861012893,0.9999947861012893,0.7267077285160781,0.7487069324889943,0.24188569010132888,0.7039653961321908,2048.0,884579.9619047618,26574.714285714286,0.702,26572.619047619046,0.47900000000000004,3.566979035877046
hpc-coder,hpx,26_reduce_product_of_inverses,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,15399690.24,26585.0,0.8905,26585.0,0.4835,4.01824604511261
hpc-coder,hpx,27_reduce_average,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,-13329121.28,26585.0,0.5622999999999999,26585.0,0.50055,2.698556706905365
