problem type,model,build@1,build@5,build@10,build@20,pass@1,pass@5,pass@10,pass@20,strict_pass@1,strict_pass@5,strict_pass@10,strict_pass@20,speedup@1,speedup@5,speedup@10,speedup@20,speedup_max@1,speedup_max@5,speedup_max@10,speedup_max@20,efficiency@1,efficiency@5,efficiency@10,efficiency@20,efficiency_max@1,efficiency_max@5,efficiency_max@10,efficiency_max@20
sparse_la,hpc-coder,0.9874342772806936,0.9999999930154176,1.0,1.0,0.008,0.0388002473716759,0.0746938775510204,0.1383797155225726,0.008,0.0388002473716759,0.0746938775510204,0.1383797155225726,0.8152000151492454,1.737244120719787,1.737244120719787,1.737244120719787,3.385509502569583,2.6492949300611475,13.250290614756906,13.250290614756906,0.0127375002367069,0.0271444393862466,0.0271444393862466,0.0271444393862466,1.1837586078257174,1.210345974152393,4.633189086564069,4.633189086564069
sparse_la,magicoder,0.8663570416306333,0.998513599433572,0.9999916129515004,0.9999999998592892,0.1019999999999999,0.3313727613819661,0.4582724996884169,0.5827610259614361,0.0879999999999999,0.2792952669977707,0.3830039382170059,0.4881470378355953,17.99036856292463,35.43439432962283,35.78401121416133,38.85370191803153,19.71571886951676,38.526163250073125,40.63346940460515,43.96878971280261,0.2810995087956973,0.5536624114003568,0.5591251752212708,0.6070890924692427,19.323299272784837,37.78608496163221,39.53682590650965,42.51984782650703
sparse_la,minimax,0.2404506847050744,0.7067006074787981,0.8966220124812965,0.9854062603260054,0.022,0.0964617083946981,0.1657448513360691,0.2556180822783049,0.022,0.0964617083946981,0.1657448513360691,0.2556180822783049,5.42888261294219,2.1174842864368686,38.12236579136762,38.12236579136762,25.5398333827873,18.8108176505241,154.60873035895258,154.60873035895258,0.0848262908272217,0.033085691975576,0.5956619654901191,0.5956619654901191,15.762320640372804,11.362565774850925,100.57020748922297,100.57020748922297
sparse_la,oss,0.6686423775370687,0.9546820889820922,0.9923379954290644,0.9997954638534606,0.242,0.4774840664163197,0.5577917483904958,0.674517798186741,0.242,0.4774840664163197,0.5577917483904958,0.674517798186741,3.4966842184773306,7.222944776403385,6.64387928656693,6.169454113641549,10.40438113512506,10.616404045458392,39.50614774462609,38.84233118212431,0.0546356909137082,0.1128585121313029,0.1038106138526082,0.0963977205256492,5.52976437898439,5.154580646906657,16.86009885208293,16.40636303239898
sparse_la,sonnet,0.7885017264244517,0.982142477817598,0.998583803217124,0.999993871653189,0.2219999999999999,0.5882455259517115,0.6892830376098226,0.7495496513089153,0.2219999999999999,0.5882455259517115,0.6892830376098226,0.7495496513089153,2.366236792502913,1.1371718435802332,5.06516060499561,5.033290820239366,9.708229824151193,1.6259276641180418,11.831045911609367,11.685823389852294,0.036972449882858,0.0177683100559411,0.0791431344530564,0.0786451690662401,4.690745331581328,1.020135473680254,11.25787773295577,11.21281822006726
sparse_la,starcoder,0.998842235775082,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stencil,glm,0.4403024322997316,0.7789279815319251,0.7991826481554922,0.7999990398475701,0.1019999999999999,0.3653156778175187,0.5155568240033406,0.6182356443151377,0.1019999999999999,0.3653156778175187,0.5155568240033406,0.6182356443151377,16.875727027105984,15.909343541764375,49.73052332785546,62.5784041252237,36.19303248623948,34.78745317627118,73.57323431327333,102.87350379197191,0.263683234798531,0.2485834928400684,0.7770394269977415,0.9777875644566204,2.1224964530888832,1.9123818924505995,4.156777173515221,8.74871851292459
stencil,gpt5,0.7735031827920282,0.7999998940158056,0.7999999999999884,0.8,0.504,0.7174984725224047,0.7680993429226327,0.7959939059738115,0.504,0.7174984725224047,0.7680993429226327,0.7959939059738115,14.008880986833294,11.944935616049545,10.741727023431013,150.2568512398663,30.295821327900605,23.005000169520457,17.336573722153695,371.02204896447273,0.2188887654192702,0.1866396190007741,0.1678394847411095,2.347763300622911,2.0248880073465543,1.390676109861678,1.4373993012879598,23.165479216119447
stencil,hpc-coder,0.7997118155619597,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stencil,magicoder,0.4252382727104914,0.7421152172759901,0.7932391365818344,0.7999200593067929,0.014,0.0641829562190387,0.1155390501290043,0.1895827196858124,0.012,0.0541829562190387,0.0955390501290043,0.1495827196858124,0.2185516833408296,0.2191668518709716,0.6236340669671722,0.6236340669671722,0.2274759147597026,0.2287795974661063,0.6655593186989854,0.6655593186989854,0.0034148700522004,0.0034244820604839,0.009744282296362,0.009744282296362,0.149459613786724,0.1498066021712547,0.431007637564065,0.431007637564065
stencil,minimax,0.5242486237167088,0.784290386342959,0.7991492405294489,0.799997948913169,0.1879999999999999,0.4869643733782173,0.5704232268579852,0.5976226962304698,0.1879999999999999,0.4869643733782173,0.5704232268579852,0.5976226962304698,6.032461286173032,3.641519100256934,2.159284532872349,75.5915891646837,7.924758031673963,4.749345503140604,3.04484799960145,85.59455121292173,0.0942572075964536,0.0568987359415145,0.0337388208261304,1.1811185806981828,0.9288328742128772,0.5022467871750145,0.3853290328054585,6.741402431052882
stencil,oss,0.791477566708552,0.7999999999745679,0.8,0.8,0.562,0.6376237177157649,0.6696738901744995,0.7193323514972999,0.562,0.6376237177157649,0.6696738901744995,0.7193323514972999,17.07245658357158,52.63398833065166,52.15183729240025,51.54433899275512,31.2027891496742,102.20986739282452,101.59793586297418,100.83839477235628,0.2667571341183059,0.8224060676664322,0.8148724576937539,0.8053802967617987,2.279344732778177,6.889858412918525,6.831593545790258,6.77656153188224
stencil,sonnet,0.7554871978553546,0.7999972203474599,0.7999999999793103,0.8,0.572,0.5999999415573789,0.6,0.6,0.572,0.5999999415573789,0.6,0.6,8.221290903224743,6.884794144537893,6.353738063141639,5.888393036400216,9.61323836246903,8.404988555441909,7.895249484906047,7.371963131171333,0.1284576703628866,0.1075749085084045,0.0992771572365881,0.0920061411937533,0.8404871466025462,0.6749307817741591,0.643573883902173,0.6408073795143122
