model,build@1,build@5,build@10,build@20,pass@1,pass@5,pass@10,pass@20,strict_pass@1,strict_pass@5,strict_pass@10,strict_pass@20,speedup@1,speedup@5,speedup@10,speedup@20,speedup_max@1,speedup_max@5,speedup_max@10,speedup_max@20,efficiency@1,efficiency@5,efficiency@10,efficiency@20,efficiency_max@1,efficiency_max@5,efficiency_max@10,efficiency_max@20
glm,0.5253759966072497,0.8449983551282026,0.8905676797088972,0.9144212546518052,0.13614285714285707,0.33397811293482443,0.43435996585230685,0.5349117005646676,0.13585714285714276,0.33312545217131795,0.43311029165740783,0.5330473846534709,3.598554234282767,4.199322166582227,12.87307679788773,16.720213374559012,8.455066900232373,9.928929459099908,31.52227268066452,38.37299145436167,0.0562274099106682,0.06561440885284726,0.20114182496699576,0.26125333397748457,2.7096528231818757,3.9291850762131446,9.568882307103706,12.03607664349992
gpt5,0.7873418760282506,0.9064162242740269,0.9234136922937909,0.9358303668678519,0.5572857142857143,0.7935278144372401,0.8340205520241775,0.8648123795240955,0.5567142857142857,0.7934498538782675,0.8340160877546955,0.8648123746291516,20.212101639964455,6.056041275620726,5.20105337201498,15.43876568877636,86.56348714945305,41.452459055830666,27.19325519567576,47.884419494403026,0.31581408812444456,0.09462564493157379,0.081266458937734,0.24123071388713063,70.22957833882451,24.638365325307696,13.094939198018293,9.575281667888524
hpc-coder,0.8886299085272539,0.9133268326448601,0.9142476163943875,0.9142856635478159,0.08799999999999997,0.18943147815202305,0.22706182447517673,0.255649507558181,0.06414285714285711,0.14978451522528946,0.1821779962038783,0.20699035722165893,11.191648619647657,9.710092121076132,9.2209876533758,9.73225703352195,17.09874429950496,16.179031496376645,16.88885941494858,17.406581846637703,0.17486950968199458,0.15172018939181453,0.14407793208399683,0.15206651614878045,12.330637136006386,11.977909869695791,11.869236608664917,12.495008465675328
magicoder,0.5442967502319334,0.7452202984890642,0.7839993901447591,0.805385659342085,0.1541428571428571,0.3222139901616022,0.3968829095790297,0.4651045767729164,0.08714285714285708,0.23853178511999257,0.31620993860490093,0.3896036732666034,174.91281474171188,156.48128253623665,146.5095995982329,133.75301636839907,183.4627745284965,172.23823646304635,168.36906908571146,163.44985518486638,2.7330127303392486,2.4450200396286976,2.289212493722389,2.0898908807562355,178.76026989103656,158.77339020672335,146.82062430113882,132.02699139178685
minimax,0.405656558198912,0.7062631747536566,0.7771911231411144,0.8130608692600999,0.21471428571428566,0.42498713655141174,0.5098819012866077,0.5859775880180645,0.21471428571428566,0.42498713655141174,0.5098819012866077,0.5859775880180645,6.332170839712482,13.081246408033305,19.02721407448801,31.007972763027446,11.992305404979529,23.920185050163518,46.17083655176112,60.173047452448415,0.09894016937050751,0.2043944751255203,0.2973002199138751,0.48449957442230385,4.719049793417606,10.27681970025601,27.130011408130457,28.34197950918045
oss,0.7291945568286096,0.8595152260637261,0.8737083115630273,0.8816417634059402,0.4574285714285714,0.7038647120494111,0.766830391987056,0.8099063673350667,0.45728571428571424,0.70381729383189,0.7668278812517564,0.8099063660434628,19.073567570154008,10.788352721262557,16.23087866939665,18.69707745669243,53.97567127635609,24.292628327668044,28.515455416900426,38.78178767624123,0.2980244932836564,0.16856801126972742,0.2536074792093226,0.2921418352608192,39.10654397855857,10.254314510389728,7.293003895408226,16.757188152466316
sonnet,0.7934526479889079,0.9041303829525865,0.9122309449839048,0.9141252866324334,0.6444285714285714,0.8339094967437594,0.8607241096445858,0.8704136093221605,0.6428571428571427,0.8330482635103401,0.8606056585092541,0.8704128749178118,7.062358649203054,5.068957622937326,4.694491816351932,4.643472686906159,9.292308176416523,6.180405473450329,6.098415563374142,8.886604105328898,0.11034935389379767,0.07920246285839569,0.07335143463049887,0.0725542607329087,2.9045088018593055,1.5735004206294116,1.9906490505685632,2.572608129884219
starcoder,0.910462369253615,0.9285599445964613,0.9285714229079345,0.9285714285714279,0.07399999999999997,0.1431854805228201,0.1679368402879303,0.1909794184008647,0.018571428571428548,0.052533401475911456,0.06815200095276919,0.08448140482819376,882.2072481481129,2621.816891788687,2621.4336317559396,2621.022524934185,955.9216222638421,2833.0103239886107,2832.8236356340217,2832.481870657287,13.784488252314265,40.96588893419823,40.959900496186556,40.95347695209664,949.1999456847594,2822.0974360225805,2822.001410306805,2821.6979256579993
