model,execution model,prompt,build@1,pass@1,strict_pass@1,speedup@1,speedup_max@1,efficiency@1,efficiency_max@1,build@5,pass@5,strict_pass@5,speedup@5,speedup_max@5,efficiency@5,efficiency_max@5,build@10,pass@10,strict_pass@10,speedup@10,speedup_max@10,efficiency@10,efficiency_max@10,build@20,pass@20,strict_pass@20,speedup@20,speedup_max@20,efficiency@20,efficiency_max@20,max_new_tokens,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times
hpc-coder,hpx,25_reduce_xor,0.9523809523809523,0.4099999999999997,0.4099999999999997,5.102651815148308,5.1483059075986395,1.0496457629044016,0.8030713536666404,0.9999998542005032,0.9335031091474391,0.9335031091474391,1.3846100066885512,1.4356699190344224,0.25062407021489924,0.5691568467870787,0.9999999999999957,0.9963704660241284,0.9963704660241284,0.6213090910779778,0.6338413570615864,0.20142742487188964,0.5352879425510664,1,0.9999947861012893,0.9999947861012893,0.5389153681883303,0.5406899031641974,0.18479806299643442,0.5373620668080888,2048.0,884579.9619047618,26574.714285714286,0.702,26572.619047619046,0.47900000000000004,3.566979035877046
hpc-coder,hpx,26_reduce_product_of_inverses,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,15399690.24,26585.0,0.8905,26585.0,0.4835,4.01824604511261
hpc-coder,hpx,27_reduce_average,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,-13329121.28,26585.0,0.5622999999999999,26585.0,0.50055,2.698556706905365
hpc-coder,hpx,28_reduce_smallest_odd_number,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,-102277.12,26585.0,0.495,26585.0,0.37189999999999995,2.962784605026245
hpc-coder,hpx,29_reduce_sum_of_min_of_pairs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,587694.08,26585.0,0.9538,26585.0,0.4769,4.304378499984741
