model,execution model,prompt,build@1,pass@1,strict_pass@1,speedup@1,speedup_max@1,efficiency@1,efficiency_max@1,build@5,pass@5,strict_pass@5,speedup@5,speedup_max@5,efficiency@5,efficiency_max@5,build@10,pass@10,strict_pass@10,speedup@10,speedup_max@10,efficiency@10,efficiency_max@10,build@20,pass@20,strict_pass@20,speedup@20,speedup_max@20,efficiency@20,efficiency_max@20,max_new_tokens,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times
gpt5_low,hpx,25_reduce_xor,0.859375,0.5499999999999999,0.5499999999999999,7.557010638812875,7.557010638812875,1.3776758094187944,0.8874599943756349,0.9999549128621738,0.983772091310751,0.983772091310751,6.927631162019761,6.927631162019761,0.4623958658759586,0.7888268714409211,0.9999999988148711,0.9998157059355856,0.9998157059355856,6.694456067928304,6.694456067928304,0.3475824920116972,0.7619320993548001,1,0.9999999940858784,0.9999999940858784,6.422368928666877,6.422368928666877,0.30075724318578767,0.728620289495499,2048.0,,,,,,5.5595270350575445
gpt5_low,hpx,26_reduce_product_of_inverses,0.9405940594059405,0.75,0.75,27.71172255636043,29.309906648239863,8.457396604551125,9.256646888961585,0.9999995141589344,0.9992943053510064,0.9992943053510064,19.711672495463393,21.777952665446026,4.105967738091278,7.630354370894497,0.9999999999999313,0.9999998111668651,0.9999998111668651,14.150524346625053,16.26643896832619,2.9072402406157822,6.243266541392106,1,0.9999999999999999,0.9999999999999999,7.968008555251188,9.651555471357847,2.0475629646522866,4.247333741888166,2048.0,,,,,,7.112862805918891
gpt5_low,hpx,27_reduce_average,0.9938524590163934,0.97,0.97,1.5001504465975195,1.5273030286817355,0.4488217365049394,0.46244640851658975,1.0,1.0,1.0,1.4198293063307756,1.4655254673155111,0.24486761987993136,0.45429876958551385,1.0,1.0,1.0,1.3941157380964966,1.4495570281393912,0.19119135890592384,0.4531544071525798,1,1.0,1.0,1.3688680680583432,1.4364725271345917,0.1695141655193811,0.4507512655426723,2048.0,,,,,,4.296813273527583
gpt5_low,hpx,28_reduce_smallest_odd_number,0.9895833333333333,0.95,0.95,28.078767681884298,29.594775924384987,7.737967147802399,7.669343494909997,0.9999999999951911,0.9999999867175862,0.9999999867175862,25.0840245407032,26.579420663446324,3.475530111116611,4.8357593261203755,1.0,1.0,1.0,23.96263736850223,25.39253619118758,2.4859917548940276,4.228916716708778,1,1.0,1.0,22.477430180953952,23.83867790311428,1.9864044578039275,3.6498103080805477,2048.0,,,,,,6.595908319950103
gpt5_low,hpx,29_reduce_sum_of_min_of_pairs,0.9065934065934066,0.66,0.66,11.158995350791507,11.765009348381112,3.388829027909917,4.67648245472077,0.9999946284514932,0.9963040886457676,0.9963040886457676,9.987447434869614,10.717529418841995,1.692929622864136,2.3811394359288527,0.9999999999867989,0.9999924248529277,0.9999924248529277,9.605159122943078,10.535322073154152,1.2539805708426732,2.2210863752758043,1,0.999999999997403,0.999999999997403,9.088494730766477,10.373448793184298,1.0871472440593855,2.0757656485020024,2048.0,,,,,,6.536600601542127
