model,execution model,prompt,build@1,pass@1,strict_pass@1,speedup@1,speedup_max@1,efficiency@1,efficiency_max@1,build@5,pass@5,strict_pass@5,speedup@5,speedup_max@5,efficiency@5,efficiency_max@5,build@10,pass@10,strict_pass@10,speedup@10,speedup_max@10,efficiency@10,efficiency_max@10,build@20,pass@20,strict_pass@20,speedup@20,speedup_max@20,efficiency@20,efficiency_max@20,max_new_tokens,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times
starcoder,hpx,15_edge_graph_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,-75613224.96,31425.0,0.97,31422.826,0.92611578037585,52.716322152614595
starcoder,hpx,16_graph_largest_component,0.9829059829059829,0.010000000000000009,0.0,0.6713332544544189,0.7547782942029515,0.2886971196219804,0.745866963592099,0.9999999996941914,0.050000000000000044,0.0,0.6713332544544189,0.7547782942029515,1.443485598109902,0.745866963592099,1,0.09999999999999998,0.0,0.6713332544544189,0.7547782942029515,1.443485598109902,0.745866963592099,1,0.19999999999999996,0.0,0.6713332544544189,0.7547782942029515,1.443485598109902,0.745866963592099,2048.0,19811809.367521368,31425.0,0.9698931623931624,31425.0,0.9188654818989423,51.03891809322895
starcoder,hpx,17_graph_highest_degree,0.9959349593495935,0.2599999999999999,0.010000000000000009,0.6482680074361432,0.6705068039676776,0.25366751011146277,0.622340645678592,1.0,0.7860367295934306,0.050000000000000044,0.11927854567955588,0.12069498031122658,0.049681254074982334,0.11811204256801876,1,0.9584983179735282,0.09999999999999998,0.04811969081149371,0.04825361799856974,0.018887519710018834,0.048042544804391976,1,0.9989011042168742,0.19999999999999996,0.04472329018990291,0.044782800811180766,0.014286715075075817,0.04465650012805952,2048.0,488859781.203252,31425.0,0.97,31425.0,0.9288893206597159,55.58023939675432
starcoder,hpx,18_graph_count_components,1.0,0.06000000000000005,0.030000000000000027,0.6104777364412977,0.6338555944030548,0.2420002488333683,0.6263024853311548,1.0,0.2709147810951935,0.14400123685837973,0.9442036565450249,1.022747560921936,0.17217294648211393,0.9961027605352686,1,0.47769525064502194,0.2734693877551021,3.662866418647786,3.8031335664183286,0.12351560918608875,3.757814911986929,1,0.7479135984290624,0.4918985776128634,3.662866418647786,3.8031335664183286,0.05394239914889444,3.757814911986929,2048.0,-209261240.32,31425.0,0.9699,31425.0,0.9083676742773737,48.181911151409146
starcoder,hpx,19_graph_shortest_path,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,-126500495.36,31480.44,0.9698,31480.44,0.911793816912972,50.60490423440933
