model,execution model,prompt,build@1,pass@1,strict_pass@1,speedup@1,speedup_max@1,efficiency@1,efficiency_max@1,build@5,pass@5,strict_pass@5,speedup@5,speedup_max@5,efficiency@5,efficiency_max@5,build@10,pass@10,strict_pass@10,speedup@10,speedup_max@10,efficiency@10,efficiency_max@10,build@20,pass@20,strict_pass@20,speedup@20,speedup_max@20,efficiency@20,efficiency_max@20,max_new_tokens,virtual_memory_used,max_gpu_memory_usage,max_gpu_utilization,average_gpu_memory_usage,average_gpu_utilization,generation_times
hpc-coder,hpx,15_edge_graph_count,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2048.0,26743603.2,26684.0,0.7431,26682.306666666664,0.4716166666666667,4.946844220161438
hpc-coder,hpx,16_graph_largest_component,1,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,2048.0,-21169930.24,26685.0,0.2725,26685.0,0.13754999999999998,2.6979208302497866
hpc-coder,hpx,17_graph_highest_degree,1,0.020000000000000018,0,0.8512132514680144,0.9121981964563157,0.340665545606097,0.7614108495227441,1,0.09797979797979806,0,1.7024265029360288,1.8243963929126314,0.1108082502307135,1.5228216990454881,1,0.19090909090909092,0,1.7024265029360288,1.8243963929126314,3.40665545606097,1.5228216990454881,1,0.3616161616161615,0,1.7024265029360288,1.8243963929126314,3.40665545606097,1.5228216990454881,2048.0,-315228.16,26685.0,0.254,26685.0,0.13421666666666668,2.6888192915916442
hpc-coder,hpx,18_graph_count_components,1,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,2048.0,42270.72,26685.0,0.241,26685.0,0.1205,2.599133920669556
hpc-coder,hpx,19_graph_shortest_path,1,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,2048.0,5733376.0,26685.0,0.0659,26685.0,0.0466,2.1480276226997375
