model,execution model,problem type,build@1,pass@1,speedup@1,speedup_max@1,efficiency@1,efficiency_max@1,build@5,pass@5,speedup@5,speedup_max@5,efficiency@5,efficiency_max@5,build@10,pass@10,speedup@10,speedup_max@10,efficiency@10,efficiency_max@10,build@20,pass@20,speedup@20,speedup_max@20,efficiency@20,efficiency_max@20
gpt-5,hpx,graph,0.7450351887836505,0.45199999999999996,10.059034819090689,21.53331518677961,0.9127267470248606,11.50164399373571,0.7999977423106858,0.7639729585992472,3.696878837407532,11.346930237921947,0.4556579702700279,6.859779967564338,0.7999999999936898,0.7970594182517019,2.113817548813079,8.219008466965798,0.33434444876330316,5.149316867282177,0.8,0.7999843758375412,1.2357273973950516,5.814166927113195,0.2451715367210029,3.600223771725581
hpc-coder,hpx,graph,0.8,0.0040000000000000036,0.9129390040051291,0.9734272206884607,0.05877793285005577,0.9445481881043831,0.8,0.01959595959595961,1.8258780080102581,1.9468544413769213,0.11755586570011153,1.8890963762087662,0.8,0.038181818181818185,1.8258780080102581,1.9468544413769213,0.11755586570011153,1.8890963762087662,0.8,0.0723232323232323,1.8258780080102581,1.9468544413769213,0.11755586570011153,1.8890963762087662
magicoder,hpx,graph,0.7747889602731476,0.4619999999999999,0.639767725106632,0.9706535545878137,0.058551865753549016,0.6538606376447368,0.7999998135452431,0.7633511450503351,0.5212318889215892,0.6544438481917365,0.03686283287890513,0.4532997708200129,0.7999999999999277,0.796409951903322,0.4950028061065753,0.6112640774686988,0.03450090854718032,0.40420679013202926,0.8,0.7999692834622112,0.4772861582105374,0.5828142482058744,0.03334855891734566,0.3864005887627592
starcoder,hpx,graph,0.7969646169211014,0.06599999999999999,0.6282075983720455,0.7187772692516415,0.04204779887131579,0.6545563247059837,0.7999999999884165,0.22139030213772487,0.6304768933588362,0.689201733193455,0.042342359213591974,0.6646349344327979,0.8,0.30723871372371003,1.6415343005581642,1.7613319351138366,0.10887098698226709,1.7094884847202652,0.8,0.3893629405291873,1.640959633514141,1.7605697311768294,0.10883242622699114,1.7088003241839493
